Bcode,YEAR,VAR,LOCATION,CLASS,CAVOL,FPROT,FSDS,FSR_S,FSR_W,FSR_C,BKFYELD
190100001,19,STEPHENS,REARDAN,Common,1185,8.3,9,78.1,55.2,68.3,45.5
190100005,19,ARS09X492-6CBW,REARDAN,Club,1380,8.6,3.5,68.9,52.2,65.1,54.4
190100006,19,CRESCENT,REARDAN,Club,1280,7.9,3.8,72,51.6,63.4,54.4
190100022,19,WA8290,REARDAN,Common,1315,8,13.4,93.2,53.7,66.6,49.2
190100023,19,WA8305,REARDAN,Common,1325,7.5,9.6,88,51.5,65.7,47.2
190100024,19,WA8308,REARDAN,Common,1240,7.6,7.3,93.8,53.8,69.8,47.1
190100031,19,STEPHENS,ALMIRA,Common,1225,9.8,12.5,90.9,55.2,69.2,43.8
190100035,19,ARS09X492-6CBW,ALMIRA,Club,1260,10.3,5.3,85.3,55.2,73.1,51.8
190100036,19,CRESCENT,ALMIRA,Club,1310,10.1,6.1,90.4,54.4,72.9,53.1
190100053,19,WA8290,ALMIRA,Common,1270,9.6,14.5,98.3,59.6,76.7,47.4
190100054,19,WA8305,ALMIRA,Common,1235,8.3,10.5,91.1,51.2,69.1,47.5
190100055,19,WA8308,ALMIRA,Common,1230,9.2,9,94.6,55.2,76.7,43.4
190100062,19,STEPHENS,LAMONT,Common,1205,9.3,9.6,93.4,56.4,68.4,44.8
190100066,19,ARS09X492-6CBW,LAMONT,Club,1210,10.7,3.8,80.3,54,62.7,52.4
190100067,19,CRESCENT,LAMONT,Club,1300,10.1,5.8,86.7,52.5,65.1,51.3
190100083,19,WA8290,LAMONT,Common,1225,9.3,11.9,90.6,55,68.1,48
190100084,19,WA8305,LAMONT,Common,1240,10.2,9.9,87.2,55.2,67.6,45.2
190100085,19,WA8308,LAMONT,Common,1195,8.9,7.3,87.3,56.1,70.1,44.8
190100091,19,STEPHENS,ST ANDREWS,Common,1195,10.2,11.6,89.1,56.9,68.6,44
190100095,19,ARS09X492-6CBW,ST ANDREWS,Club,1280,10.2,4.1,85.3,55.6,73,50.4
190100096,19,CRESCENT,ST ANDREWS,Club,1310,9.3,4.4,85.4,53.9,72,53.1
190100112,19,WA8290,ST ANDREWS,Common,1220,8.9,13.9,91.1,56.9,75,47.2
190100113,19,WA8305,ST ANDREWS,Common,1260,8.8,10.2,91.8,55.4,73.1,47
190100114,19,WA8308,ST ANDREWS,Common,1195,9.3,7.9,93.5,57.7,76.9,42.4
190100120,19,STEPHENS,CONNELL,Common,1265,10.2,11.3,89.8,56.3,67.6,46.1
190100121,19,ARS09X492-6CBW,CONNELL,Club,1325,10.5,3.8,76.4,50.6,68.4,52.6
190100122,19,CRESCENT,CONNELL,Club,1325,9,5.3,79.1,53.9,67.3,52.8
190100128,19,WA8290,CONNELL,Common,1320,10.1,11,94.7,56.6,71.4,47.7
190100129,19,WA8305,CONNELL,Common,1295,9.8,8.1,88.7,52.6,71.6,48
190100130,19,WA8308,CONNELL,Common,1235,9.4,7.6,87.7,51.3,69,45.3
190100137,19,STEPHENS,RITZVILLE,Common,1170,9.7,11,87,53.6,66.9,45.1
190100138,19,ARS09X492-6CBW,RITZVILLE,Club,1255,8.3,3.8,82.4,50.3,71.3,52.9
190100139,19,CRESCENT,RITZVILLE,Club,1270,7.7,5,82.3,52.6,66.6,50.3
190100142,19,WA8290,RITZVILLE,Common,1200,8.6,8.1,92.2,54.1,73.1,46.2
190100143,19,WA8305,RITZVILLE,Common,1245,8.8,11,91.3,52.7,71.6,45.3
190100144,19,WA8308,RITZVILLE,Common,1125,8.6,8.1,91.5,54.2,73.9,42.1
190120001,19,STEPHENS,FAIRFIELD,Common,1155,8.4,7.6,77.2,50.3,71.7,44.5
190120005,19,ARS09X492-6CBW,FAIRFIELD,Club,1270,8.5,3.8,72.6,46.5,67.3,53.2
190120006,19,CRESCENT,FAIRFIELD,Club,1300,7.1,3.8,74.2,49.3,68.5,52.3
190120028,19,WA8306,FAIRFIELD,Common,1195,7.5,6.4,74.5,51.4,68.2,48.3
190120029,19,WA8307,FAIRFIELD,Common,1200,7.5,7.3,80,57.4,79.1,44.4
190120031,19,WA8293,FAIRFIELD,Common,1230,8.2,7.9,77.1,56.7,72.7,45
190120032,19,WA8305,FAIRFIELD,Common,1245,7.1,6.7,76,53.2,70,45.8
190120034,19,STEPHENS,COLTON,Common,1170,8.2,7.3,75.8,52.8,70.9,45.9
190120038,19,ARS09X492-6CBW,COLTON,Club,1300,7.8,4.4,68.6,47.5,66.7,50.8
190120039,19,CRESCENT,COLTON,Club,1300,6.4,4.7,71.9,53.1,68.1,52.9
190120062,19,WA8306,COLTON,Common,1265,6.9,7.3,76,52.7,68.2,48.8
190120065,19,WA8293,COLTON,Common,1235,6.7,6.4,78.7,56.7,71.3,45.7
190120066,19,WA8305,COLTON,Common,1280,7.6,7.9,76.6,52.3,68.5,45.7
190120068,19,STEPHENS,MAYVIEW,Common,1210,7.6,7.3,77,53.6,69.4,45.7
190120072,19,ARS09X492-6CBW,MAYVIEW,Club,1290,7.9,4.1,71.1,51.5,66.9,53.5
190120073,19,CRESCENT,MAYVIEW,Club,1235,8.3,4.7,72,49.6,66.4,51.7
190120095,19,WA8306,MAYVIEW,Common,1135,8.7,9.3,74.7,52.8,65.1,49
190120096,19,WA8307,MAYVIEW,Common,1150,8.7,9,80,55.7,74.7,45.5
190120098,19,WA8293,MAYVIEW,Common,1185,9.2,8.7,79.6,55.2,68,47.8
190120099,19,WA8305,MAYVIEW,Common,1200,9,9.3,76.8,53.1,67.4,49.2
190120101,19,STEPHENS,FARMINGTON,Common,1200,7.7,6.1,74.7,53.1,66.4,46.8
190120102,19,ARS09X492-6CBW,FARMINGTON,Club,1325,7.8,3.5,71.3,52.5,68.4,55.8
190120103,19,CRESCENT,FARMINGTON,Club,1305,6.4,3.2,74.5,51.7,68.8,56.1
190120116,19,WA8306,FARMINGTON,Common,1250,6.9,7.6,75.4,50.8,66.7,51.8
190120117,19,WA8307,FARMINGTON,Common,1270,7.4,7.3,80.6,56.7,76.9,43.8
190120119,19,WA8293,FARMINGTON,Common,1230,6.9,7.3,77.6,54,71,48.3
190120120,19,WA8305,FARMINGTON,Common,1250,7,7.9,78.5,51.6,70.5,49.5
190120122,19,STEPHENS,PULLMAN,Common,1155,8.9,8.1,75.6,52.9,68.7,46.3
190120123,19,ARS09X492-6CBW,PULLMAN,Club,1240,9.8,3.8,66.8,49.8,64.2,53.7
190120124,19,CRESCENT,PULLMAN,Club,1260,9.8,4.7,71,50.4,65.8,53.8
190120137,19,UIL17-6268,PULLMAN,Common,1160,8.7,11.9,79,52.8,65,48.4
190120138,19,WA8306,PULLMAN,Common,1160,8.3,8.1,75.8,51.4,65.6,48.9
190120141,19,WA8293,PULLMAN,Common,1190,9.1,7.3,80.1,54.8,66.4,47.8
190120142,19,WA8305,PULLMAN,Common,1210,9.2,9,79,52.9,69.9,48.1
190120144,19,STEPHENS,WALLA WALLA,Common,1120,9.8,8.1,77.8,54.8,65.6,44
190120148,19,WA8307,WALLA WALLA,Common,1150,8.4,10.2,82.6,57.7,75.7,44.4
190120149,19,WA8293,WALLA WALLA,Common,1185,8.9,9,80.9,57.1,70.5,47.8
190120150,19,STEPHENS,DAYTON,Common,1140,9.9,8.1,76.8,55.4,70.1,44.7
190120155,19,WA8307,DAYTON,Common,1235,7.7,8.4,86.7,59.4,71.2,46.7
190120156,19,WA8293,DAYTON,Common,1205,8.1,10.2,81.3,57.4,67.8,47.8
190130008,19,JD,BICKLETON,Club,1295,8.2,5.5,82.4,47.6,63.7,50.2
190130009,19,LOUISE,BICKLETON,Common,1310,7.5,9,88.6,48.7,68.8,50.3
190130014,19,WA8297,BICKLETON,Common,1340,8.2,10.8,90.7,49.3,70.7,50.1
190130015,19,WA8295,BICKLETON,Club,1310,8.2,5.5,87.2,49.2,65.4,49.6
190130016,19,WA8311,BICKLETON,Common,1310,8,9.6,87.2,48.1,66.8,50.1
190130017,19,WA8312,BICKLETON,Club,1350,7.9,5.5,80.1,45,61.8,53
190130018,19,WA8303,BICKLETON,Common,1245,7.5,8.4,90.7,51.7,72.5,49.3
190130019,19,WA8313,BICKLETON,Common,1190,7.6,7.6,96.3,50.2,71.8,47.8
190130025,19,LOUISE,DAYTON,Common,1280,8,9.3,85.2,45.3,65.7,51.7
190130029,19,WA8297,DAYTON,Common,1305,8.4,9.6,90.3,46.5,69.4,51.2
190130030,19,WA8295,DAYTON,Club,1285,8.6,3.5,81.8,46.8,64.7,50.3
190130031,19,WA8311,DAYTON,Common,1255,8,8.1,86.8,47.9,70.5,52.2
190130032,19,WA8312,DAYTON,Club,1275,9.6,4.4,80.1,42.1,61.9,53.8
190130039,19,JD,ENDICOTT,Club,1160,8.9,5.3,81.8,46.5,63.8,47.6
190130040,19,LOUISE,ENDICOTT,Common,1175,8,8.1,85.8,48.3,65.7,47.8
190130045,19,WA8297,ENDICOTT,Common,1225,8.7,12.5,86.8,51.4,67,48
190130046,19,WA8295,ENDICOTT,Club,1170,9.9,4.1,84.8,50.3,69,46.7
190130047,19,WA8311,ENDICOTT,Common,1225,9.1,9.9,86.3,49.9,61.2,47.9
190130048,19,WA8312,ENDICOTT,Club,1215,10.5,3.8,75.9,46.6,66.7,50.5
190130049,19,WA8303,ENDICOTT,Common,1150,9.9,13.7,91.6,49.1,61,46
190130050,19,WA8313,ENDICOTT,Common,1280,10.7,9.6,91.2,49.6,69.3,46.7
190130058,19,JD,PALOUSE,Club,1320,8.1,4.7,84.5,50.4,68,50.5
190130059,19,LOUISE,PALOUSE,Common,1305,8.1,7.6,87.2,52.3,64.1,50.2
190130064,19,WA8297,PALOUSE,Common,1320,7.3,9.3,88.9,52.8,69.2,50.9
190130065,19,WA8295,PALOUSE,Club,1315,7.9,5,86,52.8,67.2,49.6
190130066,19,WA8311,PALOUSE,Common,1365,8,7.6,85.7,54.1,67.2,50.4
190130067,19,WA8312,PALOUSE,Club,1425,7.5,5.3,76.4,48.1,60.1,50.6
190130068,19,WA8303,PALOUSE,Common,1300,8,9,91.8,56.1,71.4,49.4
190130069,19,WA8313,PALOUSE,Common,1335,7.9,6.1,92.8,54.5,68.3,47
190130077,19,JD,FARMINGTON,Club,1345,7.2,4.7,84.5,52.8,65.8,51.6
190130078,19,LOUISE,FARMINGTON,Common,1290,7.3,4.4,85.5,53.4,68,51.2
190130083,19,WA8297,FARMINGTON,Common,1335,7,10.8,85.6,52,69.6,52.1
190130084,19,WA8295,FARMINGTON,Club,1330,7.4,2.1,84.8,51.4,67,50.3
190130085,19,WA8311,FARMINGTON,Common,1360,7.4,3.5,85,51.5,70,51.4
190130086,19,WA8312,FARMINGTON,Club,1425,7.2,2.4,78.7,47,61,54.1
190130087,19,WA8303,FARMINGTON,Common,1265,7.5,7.6,90.3,55.5,74.6,51.6
190130088,19,WA8313,FARMINGTON,Common,1210,7.4,5.3,89,58.7,69.8,49.3
190330001,19,SWW13657-B-2-1-1T-6,LIND,Common,1230,10.1,9.9,NA,57.4,NA,45.7
190330002,19,SWW13657-B-4-1-1T-1,LIND,Club,1200,10.2,6.1,NA,57.2,NA,44.8
190330003,19,SWW13657-B-4-1-1T-2,LIND,Club,1210,9.9,8.1,NA,56.3,NA,45.1
190330004,19,WA8317,LIND,Club,1205,10,7,NA,56.8,NA,45.3
190330005,19,SWW13324-B-4-1-1-3,LIND,Common,1205,9.9,11.3,NA,56.2,NA,48.7
190330006,19,SWW13324-B-4-1-1-5,LIND,Common,1195,11,11,NA,58.6,NA,47.6
190330007,19,SWW13324-B-4-1-1-6,LIND,Common,1190,10.6,10.8,NA,57,NA,49
190330009,19,MAS11295-1-1-0-1,LIND,Common,1220,10.2,12.8,NA,51.4,NA,46.2
190330010,19,WA8305,LIND,Common,1235,10.3,10.2,NA,56.7,NA,46.9
190330011,19,MELA,LIND,Common,1215,10.7,16.8,NA,54.1,NA,44.1
190330012,19,CURIOSITY,LIND,Common,1235,10.7,15.7,NA,53.3,NA,44.3
190330014,19,OTTO,LIND,Common,1235,10.4,14.5,NA,54,NA,46.6
190330015,19,BRUEHL,LIND,Club,1285,9.9,7.9,NA,54.3,NA,47.4
190330016,19,STEPHENS,LIND,Common,1210,10.6,9.3,NA,53.5,NA,47.2
190340001,19,MAS11295-1-1-0-1,LIND,Common,1275,9.3,10.8,NA,58.4,NA,44.6
190340002,19,WA8305,LIND,Common,1280,10.2,12.5,NA,55.4,NA,46
190340004,19,SWW12239-B--S-45-1-1,LIND,Common,1245,10,13.9,NA,57.7,NA,45
190340005,19,SWW12394-B--S- 5-1-2,LIND,Common,1265,11.6,18,NA,53.6,NA,43.6
190340006,19,SWW12394-B--S-46-1-1,LIND,Common,1250,10.3,16.3,NA,54.3,NA,45.8
190340007,19,OTTO,LIND,Common,1235,11.2,17.7,NA,54.7,NA,46.9
190340008,19,MELA,LIND,Common,1200,10.4,17.7,NA,59.4,NA,43.4
190340009,19,CURIOSITY,LIND,Common,1220,10,15.7,NA,58.8,NA,44
