"eval_class","replicate","training_source","preproc","n_train","best_ncomp_caret","cor_caret","rmse_caret","bias_caret","slope_caret","best_lambda_lasso","n_nonzero_lasso","cor_lasso","rmse_lasso","bias_lasso","slope_lasso","cor_local","rmse_local","bias_local","slope_local"
"Common",1,"Matching","raw",1451,21,0.541451637450437,54.8349503168876,1.92065818663975,0.782432717043598,0.00679098502995571,71,0.405683093976597,59.1172071118048,4.72739208935574,0.818644350285788,0.683417815552146,48.3884093018838,4.87617754643152,0.797699803198174
"Common",1,"Matching","snv",1451,20,0.543541863097784,54.6762610294347,2.85661710527154,0.795066526255953,0.00229797096904696,143,0.560338214451708,53.5274403530695,3.07701242092575,0.864931408104646,0.632633199781566,50.7473449792975,0.981112184518481,0.798295356627115
"Common",1,"Matching","d1",1451,30,0.523157795846338,55.9220231900941,2.4212314080037,0.74545864205739,0.00168612883828688,133,0.508791858334361,55.7900922821805,1.75523077321079,0.810336762929917,0.663514523746274,48.5209783947288,3.4580471369628,0.873565784297931
"Common",1,"Matching","d2",1451,29,0.483064558220287,57.4417704957772,3.08524506269349,0.728140046737276,0.00229797096904696,139,0.504374738203038,56.425063330382,3.03627206907812,0.759447169273485,0.646085747926344,50.5599481654317,4.84812002894122,0.781407524610235
"Common",1,"Matching","snvd1",1451,30,0.528296052467409,55.4618542915862,1.29245256602581,0.766566110582967,0.0079279273894506,74,0.496322216063517,56.1619822730197,2.45149103114675,0.825224071927489,0.621971539529814,51.0285118777333,4.24316787127816,0.83554509809451
"Common",1,"Matching","snvd2",1451,30,0.511810422185801,56.1218193578653,3.25910786605126,0.765989284682183,0.00426827213116382,138,0.535651406462338,54.8043418511169,3.41123832775503,0.820807585528996,0.597781453126141,52.2292734138059,6.35246990472838,0.855655346765655
"Common",1,"Matching","msc",1451,19,0.544595092464435,54.6798133174604,3.07130768367091,0.791583865932781,0.00268269579527972,134,0.571207814436875,53.0357927098724,3.2708281400339,0.872791733178895,0.641480240476845,50.388960541796,2.32224616342902,0.796254218338106
"Common",1,"Opposing","raw",817,19,0.376916604412278,65.1683402678641,6.80823230775623,0.483271771056979,0.00144432146472728,37,0.214153978902651,73.5752605628748,24.8887529566304,0.318314764435715,0.357770544025298,62.0403928033366,8.32255115736374,0.624869200178049
"Common",1,"Opposing","snv",817,19,0.409817331466333,64.5495932480476,2.57595054551265,0.492418847884074,0.00365616014408519,93,0.410735806290378,63.5226594695634,0.993564472284477,0.515830077071929,0.227089911798185,68.9018776332716,8.85000900622575,0.34508448984124
"Common",1,"Opposing","d1",817,23,0.31678571794185,68.4228869507765,0.679078156570574,0.393969243113096,0.00313183100524384,129,0.305278591724192,68.60614677726,4.95301230537047,0.3886707238123,0.328954530247182,66.5055134837369,16.8539732423344,0.493935403181583
